"%s was added to your shopping cart.","%s a fost adăugată în coșul de cumpărături."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* Câmpuri obligatorii"
"Add New Address","Adaugă o adresă nouă"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","Adaugă în coș"
"Add to Compare","Adaugă la comparare"
"Add to Wishlist","Adaugă în lista de dorințe"
"Additional Product Info","Additional Product Info"
"Address","Adresă"
"Address %s of %s","Adresa %s a %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Already registered?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Aplică Cuponul"
"Are you sure you would like to remove this item from the shopping cart?","Sunteți sigur că doriți să eliminați acest produs din coșul de cumpărături?"
"Back","Înapoi"
"Back to Billing Information","Înapoi la Informațiile de Facturare"
"Back to Select Addresses","Înapoi la Selectarea Adreselor"
"Back to Shipping Information","Înapoi la Informațiile de Livrare"
"Back to Shopping Cart","Înapoi la coșul de cumpărături"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","Adresă de Facturare"
"Billing Information","Informatii de Facturare"
"Billing Information - %s","Informatii de Facturare - %s"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Cannot remove the item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Subtotal Coș:"
"Change","Modifică"
"Change Billing Address","Modifică adresa de facturare"
"Checkbox Text","Checkbox Text"
"Checkout","Finalizare Comandă"
"Checkout Conditions","Checkout Conditions"
"Checkout Method","Modalitatea finalizarii comenzii"
"Checkout Options","Checkout Options"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Finalizează comanda ca Vizitator fără cont"
"Checkout as a Guest or Register","Finalizează comanda ca Vizitator sau Client autentificat"
"Checkout with Multiple Addresses","Finalizează cu adrese diferite de livrare"
"City","Oraș"
"Clear Shopping Cart","Golește Coșul de cumpărături"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Apasă <a href=""%s"" onclick=""this.target=\'_blank\'"">aici pentru a printa</a> o copie a confirmării comenzii dumnevoastră."
"Click <a href=""%s"">here</a> to continue shopping.","Apasă <a href=""%s"">aici</a> pentru a continua cumpărăturile."
"Close","Close"
"Company","Companie"
"Condition Name","Condition Name"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","Confirm Password"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Continuă"
"Continue Shopping","Continuă cumpărăturile"
"Continue to Billing Information","Continuă cu Informațile de Facturare"
"Continue to Review Your Order","Continue to Review Your Order"
"Continue to Shipping Information","Continuă cu Informațile de Livrare"
"Country","Țară"
"Coupon code ""%s"" is not valid.","Codul cuponului ""%s"" nu este valabil."
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Create Billing Address","Create Billing Address"
"Create Shipping Address","Create Shipping Address"
"Create an order from shopping cart","Create an order from shopping cart"
"Create shopping cart","Create shopping cart"
"Customer Address is not valid.","Customer Address is not valid."
"Customer Information","Customer Information"
"Customer's information","Customer's information"
"Data saving problem","Data saving problem"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Delete Condition","Delete Condition"
"Details","Details"
"Disabled","Disabled"
"Discount Codes","Coduri de reducere"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Arată numărul de produse din coș"
"Display number of items in wishlist","Arată numărul de produse din Lista de dorințe"
"Easy access to your order history and status","Acces usor la istoricul și statusul comenziilor"
"Edit","Editează"
"Edit Address","Editează adresa"
"Edit Billing Address","Editează adresa de facturare"
"Edit Condition","Edit Condition"
"Edit Items","Editează Produsele"
"Edit Shipping Address","Aditează adresa de livrare"
"Edit Terms and Conditions","Editează Termenii si Condițiile"
"Edit Your Cart","Editează coșul dumneavoastră"
"Edit item","Editează produs"
"Edit item parameters","Editează parametri produsului"
"Email Address","Adresă email"
"Enable Onepage Checkout","Enable Onepage Checkout"
"Enable Terms and Conditions","Enable Terms and Conditions"
"Enabled","Activat"
"Enter a New Address","Introduceți o nouă adresă"
"Enter your coupon code if you have one.","Introduceți cuponul dacă aveți unul."
"Enter your destination to get a shipping estimate.","Introduceți adresa pentru a obține o estimare a transportului."
"Estimate Shipping and Tax","Estimare Transport și Taxe"
"Excl. Tax","Fără Taxe"
"Fast and easy check out","Modalitate rapidă și ușoară de finalizare a comenziilor"
"Fax","Fax"
"Forgot an Item?","Ați uitat un produs?"
"Forgot your password?","Ați uitat parola?"
"Get a Quote","Obțineți o cotație"
"Get list of available payment methods","Get list of available payment methods"
"Get list of available shipping methods","Get list of available shipping methods"
"Get list of products in shopping cart","Get list of products in shopping cart"
"Get terms and conditions","Get terms and conditions"
"Get total prices for shopping cart","Get total prices for shopping cart"
"Gift Message","Gift Message"
"Grand Total:","Grand Total:"
"Grouped Product Image","Grouped Product Image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Cu Taxe"
"Invalid checkout type.","Invalid checkout type."
"Invalid data.","Invalid data."
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid method: %s","Invalid method: %s"
"Invalid shipping method.","Invalid shipping method."
"Item not found or already ordered","Item not found or already ordered"
"Items","Produse"
"Items After","Items After"
"Items Before","Items Before"
"Load customer quote error","Load customer quote error"
"Loading next step...","Se încarcă pasul următor..."
"Login","Login"
"Login/Registration Before","Login/Registration Before"
"Manage Terms and Conditions","Manage Terms and Conditions"
"Maximum Display Recently Added Item(s)","Maximum Display Recently Added Item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Minimum order amount is %s","Minimum order amount is %s"
"Move","Mută"
"Move to Wishlist","Mută in Lista de dorințe"
"Multishipping Checkout","Multishipping Checkout"
"Multishipping Checkout Address (Any) Form","Multishipping Checkout Address (Any) Form"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Billing Address Creation"
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Billing Address Edit Form"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Billing Address Selection"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","Coșul meu"
"My Cart (%s item)","Coșul meu (%s produs)"
"My Cart (%s items)","Coșul meu (%s produse)"
"My Cart Link","Link Coșul meu"
"New Address","Adresă nouă"
"New Condition","Condiție nouă"
"New Terms and Conditions","New Terms and Conditions"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Comanda #"
"Order Review","Verificare informațiile comenzii"
"Order Success","Order Success"
"Order place error.","Order place error."
"Other Items in Your Order","Other Items in Your Order"
"Overview Items After","Overview Items After"
"Password","Parolă"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Informații plată"
"Payment Method","Modalitate de plată"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method information","Payment method information"
"Payment method is not defined","Payment method is not defined"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Plasează Comanda"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check billing address information.","Va rugăm sa verificați adresa de facturare ."
"Please check shipping address information.","Please check shipping address information."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please log in below:","Vă rugăm să vă autentificați mai jos:"
"Please select region, state or province","Vă rugăm să selectați județul"
"Please select shipping address for applicable items","Va rugăm să selectați adresa de livrare pentru fiecare produs"
"Please select shipping methods for all addresses","Vă rugăm să selectați modalitatea de livrare pentru toate adresele"
"Please select valid payment method.","Please select valid payment method."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Price","Preț"
"Proceed to Checkout","Finalizează comanda"
"Product","Produs"
"Product Name","Nume Produs"
"Products","Produse"
"Qty","Cantitate"
"Qty:","Cant:"
"Quantity was recalculated from %d to %d","Quantity was recalculated from %d to %d"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","Articole adăugate recent"
"Register","Înregistrați-vă"
"Register and save time!","Înregistrați-vă și câștigați timp!"
"Register to Create an Account","Înregistrați-vă pentru a creea un cont"
"Register with us for future convenience:","Creațivă un cont pentru beneficii viitoare:"
"Remove Item","Elimină Produsul"
"Remove This Item","Elimină acest Produs"
"Remove coupon code from shopping cart","Remove coupon code from shopping cart"
"Remove item","Elimină produsul"
"Remove product from shopping cart","Elimină produsul din coșul de cumpărături"
"Remove product(s) from shopping cart","Elimină produsele din coșul de cumpărături"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","Review Order"
"Review Order - %s","Review Order - %s"
"Sales","Vânzări"
"Save Condition","Save Condition"
"Save in address book","Save in address book"
"See price before order confirmation.","See price before order confirmation."
"Select Address","Selectați adresa"
"Select Addresses","Selectați adresele"
"Select Shipping Method","Selectați modalitatea de livrare"
"Select State/Province...","Selectați Județul..."
"Select a billing address from your address book or enter a new address.","Alegeti o adresa de facturare din lista sau adaugati una noua."
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Trimite la"
"Separate by "","".","Separată de "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Setați modalitatea de plată"
"Set shipping method","Setați modalitatea de transport"
"Ship to Multiple Addresses","Livrează la mai multe adrese"
"Ship to different address","Livrează la o altă adresă"
"Ship to this address","Livrează la această adresă"
"Shipping Address","Adresă de livrare"
"Shipping Information","Informații de livrare"
"Shipping Method","Modalitate de livrare"
"Shipping Methods","Modalități de livrare"
"Shipping To","Expediere la"
"Shipping information","Informații livrare"
"Shipping method has not been selected yet","Nu a fost selectată modalitatea de livrare"
"Shipping methods in shopping cart","Shipping methods in shopping cart"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shopping Cart","Coș de cumpărături"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Coșul de cumpărături este gol"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Show Content as"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, guest checkout is not enabled. Please try again or contact the store owner.","Sorry, guest checkout is not enabled. Please try again or contact the store owner."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","Județ"
"Status","Status"
"Store View","Store View"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submitting order information...","Submitting order information..."
"Subtotal","Preț Total"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Telefon"
"Terms and Conditions","Termeni și Condiții"
"Terms and Conditions Information","Informații Termeni și Condiții"
"Terms and conditions","Termeni și condiții"
"Text","Text"
"Thank you for your purchase!","Vă mulțumim pentru încrederea acordată produselor noastre!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","Acest produs nu a fost găsit."
"The product does not exist.","Acest produs nu este."
"There are <a href=""%s"">%s items</a> in your cart.","Aveți <a href=""%s"">%s produse</a> în coșul de cumprături."
"There is <a href=""%s"">1 item</a> in your cart.","Aveți <a href=""%s"">1 produs</a> in coș."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Există deja un client înregistrat care utilizează această adresă de e-mail. Vă rugăm să vă autentificați folosind această adresă de email sau introduceți o altă adresă de email pentru a înregistra contul dumneavoastră"
"There was an error processing your order. Please contact us or try again later.","A apărut o eroare la procesarea comenzii. Vă rugăm să ne contactați sau încercați din nou mai târziu."
"This condition no longer exists.","This condition no longer exists."
"Total","Total"
"Total for this address","Total pentru această adresă"
"Unable to set Payment Method.","Imposibil de setat Modalitatea de Plată."
"Unit Price","Preț unitar"
"Update Cart","Actualizează coșul"
"Update Qty &amp; Addresses","Actualizează Cantitatea și Adresele"
"Update Shopping Cart","Actualizează coșul"
"Update Total","Actualizează Total"
"Update product quantities in shopping cart","Actualizați cantitățile produselor din coșul de cumpărături"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping cart"
"Use Billing Address","Utilizați Adresa de Facturare"
"VAT Number","Cod CIF"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress."
"What's this?","Ce este acesta?"
"You have no items in your shopping cart.","Nu aveți produse în coșul de cumpărături."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Veți primi un email de confirmare a comenzii ce conține detalii privind comanda dumneavoastră și un link pentru a putea urmări stadiul comenzii."
"Your Checkout Progress","Stadiul comenzii dvs."
"Your billing agreement # is: %s.","Numărul acordului de facturare este: %s."
"Your order # is: %s.","Comanda dumneavoastră numărul: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Comanda dumneavoastră nu poate fi finalizată în acest moment, deoarece nu este nici o modalitate de plată disponibilă pentru ea."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received.","Comanda dumneavoastră a fost primită."
"Your order number is ","Numărul comenzii este "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","Cod Poștal"
